id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4942565054614468,NhRjjjmqU,3143022404,南昌日报,【酱香拿铁里真有茅台？#瑞幸公开原料生产记录视频#】9月4日晚，瑞幸公开与茅台联名的酱香拿铁原料生产记录视频。当天，酱香拿铁一经上市，就迅速售罄，但由于配料是白酒风味厚奶，也一度引发网友质疑。#在咖啡中擅自添加茅台售卖是侵权行为#L澎湃新闻的微博视频,,,,"瑞幸公开原料生产记录视频,在咖啡中擅自添加茅台售卖是侵权行为",0,0,0,2023-09-05 11:00,微博视频号,,"http://f.video.weibocdn.com/o0/RgMAURkFlx088lt7BhnO01041200cpfd0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1709310929&ssig=OVJRk0BWMF&KID=unistore,video",,
4942565055137544,NhRjjlyvC,7572918188,新华网财经,【#商家擅自制售茅台咖啡被罚##商家自制茅台咖啡售价128元#】#在咖啡中擅自添加茅台售卖是侵权行为#昨日，茅台与瑞幸联名的“酱香拿铁”开卖，引发广泛关注。茅台工作人员称，如咖啡店擅自在饮品中添加茅台售卖，是侵权行为。天眼查App显示，曾有商家因自制“茅台咖啡”被处罚。其中，无锡市心甜化妆品经营部在未取得商标授权的情况下自制“茅台咖啡”销售，并在店内设置“专属特调茅台咖啡53°¥128”“咖啡天花板玖号53°飞天茅咖”等宣传牌，在抖音、小红书等软件上进行宣传，当事人因无法提供食品经营许可证及茅台公司的相关授权，被无锡市梁溪区市场监督管理局罚没7万余元。锡山区东港米阑西餐厅因在其经营场所吧台货架和储物柜内存有“茅台拿铁”咖啡杯，外包装上标有“茅台拿铁”及图标，但无法提供相关商标授权，被无锡市锡山区市场监督管理局罚款500元。,,,,"商家擅自制售茅台咖啡被罚,商家自制茅台咖啡售价128元,在咖啡中擅自添加茅台售卖是侵权行为",0,0,0,2023-09-05 11:00,微博网页版,"['https://wx4.sinaimg.cn/large/008gvbXKly1hhlig4tk3hj313a0dktg6.jpg', 'https://wx2.sinaimg.cn/large/008gvbXKly1hhlig4tqrxj30wk0fual9.jpg', 'https://wx4.sinaimg.cn/large/008gvbXKly1hhlig4uidqj30vq0hawr9.jpg', 'https://wx3.sinaimg.cn/large/008gvbXKly1hhlig50uvbj30gg0dtgu0.jpg']",,,
4942565017651546,NhRjfw6w2,5637349086,大大大白白dabai,#瑞幸联名贵州茅台#年轻人的第一杯茅台@luckincoffee瑞幸咖啡,,,luckincoffee瑞幸咖啡,瑞幸联名贵州茅台,0,2,2,2023-09-05 10:59,Xiaomi 13 Ultra,['https://wx3.sinaimg.cn/large/0069vK1gly1hhliv3gquqj32dc35skjn.jpg'],,,陕西
4942564954210682,NhRj9hFoe,1688864597,河南之声,【“酱香拿铁”首日销售额突破1亿元！网传茅台火锅、茅台巧克力即将上线你怎么看？】9月4日，贵州茅台与瑞幸咖啡推出的联名咖啡“酱香拿铁”正式开卖。当天，酱香拿铁销售火爆，“酱香拿铁”“瑞幸回应喝茅台联名咖啡能否开车”等多个相关话题冲上微博热搜。当日，长沙一知名火锅店也发文称，上新酱香茅台火锅。该火锅店推文称，火锅底料搭配贵州53度飞天茅台，每一份酱香茅台火锅中都含8毫升贵州茅台。那么在咖啡中、火锅底料或者其他食品擅自添加茅台售卖是否是侵权行为？律师表示，未取得茅台公司授权，擅自添加就是侵权。L河南之声的微博视频,,,,,0,0,1,2023-09-05 10:59,微博直播平台,,"http://live.video.weibocdn.com/921cc2f3-0131-4163-b7dc-ded0618c9e5a_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1709310929&ssig=8y%2Bq7PLrgH&KID=unistore,video",,
4942564929571055,NhRj6E9RR,7753727175,晚晚不可以,继茅台冰淇淋，还有跟瑞幸联名酱香拿铁之后，我估计茅台会与蒙牛联名“茅伦苏”——不是所有特仑苏都滴茅台与滴滴代驾联名“茅水”——我来开车您再透透与洗浴汗蒸中心推出“茅浴”——让每一个毛孔尽享尊贵与杜蕾斯合作“茅套”——不沾滴酒，让您迷情醉意……,,,,,1,78,265,2023-09-05 10:59,,,,,广东
4942564924326830,NhRj6i9BA,2137096053,大象财富,【“酱香拿铁”首日销售额突破1亿元！网传茅台火锅、茅台巧克力即将上线你怎么看？】9月4日，贵州茅台与瑞幸咖啡推出的联名咖啡“酱香拿铁”正式开卖。当天，酱香拿铁销售火爆，“酱香拿铁”“瑞幸回应喝茅台联名咖啡能否开车”等多个相关话题冲上微博热搜。当日，长沙一知名火锅店也发文称，上新酱香茅台火锅。该火锅店推文称，火锅底料搭配贵州53度飞天茅台，每一份酱香茅台火锅中都含8毫升贵州茅台。那么在咖啡中、火锅底料或者其他食品擅自添加茅台售卖是否是侵权行为？律师表示，未取得茅台公司授权，擅自添加就是侵权。L大象财富的微博视频,,,,,0,0,0,2023-09-05 10:59,微博直播平台,,"http://live.video.weibocdn.com/d0a63bbc-9a4e-4e04-bf93-c8831688cdc2_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1709310929&ssig=e16F%2BhEgg2&KID=unistore,video",,
4942564902833988,NhRj4bTfu,5810290494,辛苦搬砖小跟头,#瑞幸联名贵州茅台#@luckincoffee瑞幸咖啡,,,luckincoffee瑞幸咖啡,瑞幸联名贵州茅台,0,0,0,2023-09-05 10:59,nova9Pro精彩由我摄定,"['https://wx2.sinaimg.cn/large/006ldnYOgy1hhliuf5epnj32dc35su0y.jpg', 'https://wx1.sinaimg.cn/large/006ldnYOgy1hhliudsxfkj32dc35sx6p.jpg']",,,江西
4942564823400532,NhRiWegDi,2643672043,拖延症晚期患者一只,咖啡要么喝冰的，要么喝热的，常温的真的很不ok最近get到了贝果的好吃，吐司太没味道，别的面包又太甜，贝果很可以，如果公司旁边可以开一家就更好了，现在最近的店小程序还得要快递费，伤心虽然没有喝到瑞幸和茅台的联名，不过小曹有这份心意我还是好开心,,,,,0,5,1,2023-09-05 10:59,微博轻享版,,,,上海
4942564810556547,NhRiV2kMz,2180220903,蔬菜蔬菜_多吃蔬菜,耶尝到了#瑞幸回应喝茅台联名咖啡能否开车#有点白酒味还有点上头,,,,瑞幸回应喝茅台联名咖啡能否开车,0,0,1,2023-09-05 10:59,iPhone客户端,['https://wx1.sinaimg.cn/large/81f387e7gy1hhlitpmuk1j20u0140ad4.jpg'],,,广东
4942564740567323,NhRiO2nAn,2827102952,湖北日报,【#联名品牌擦出的火花能亮多久#】5日，瑞幸咖啡发微博称，酱香拿铁刷新单品纪录，首日销量突破542万杯。这次品牌与品牌跨界联名引发的传播发酵，引起很多人的关注。“自带光环”的茅台，搭配“平易近人”的瑞幸，擦出新的市场火花。联名品牌是否“真香”，还得再看看。注意力是稀缺资源。吸引注意力、锁定注意力，再到持续将注意力变现，需要日积月累把产品和品牌做扎实。一时的新鲜过后，是噱头占主要成分，还是真正的“爆品”，时间会给出答案。（湖北日报评论员）#酱香拿铁一日销售542万杯##喝一杯酱香拿铁或赚9元#L湖北日报的微博视频,,,,"联名品牌擦出的火花能亮多久,酱香拿铁一日销售542万杯,喝一杯酱香拿铁或赚9元",1,1,2,2023-09-05 10:58,微博视频号,,"http://f.video.weibocdn.com/o0/fZBPIk70lx088mnmAapi01041200mulc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1709310929&ssig=81w%2B7gWrju&KID=unistore,video",,
